CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0802-005631-qxwkx6he   False            5                66.91                 94.37          0.30                   75.92                    77.82                               51.16                           47.25
0808-054836-is8zebde   False           20                66.27                 91.07          0.30                   57.49                    69.94                              193.09                           51.07
0807-160452-dhnao00i   False           12                66.17                 89.24          0.70                   55.23                    59.90                              155.84                           41.42
0802-022756-z1pm88pe   False            5                66.14                 96.72          1.25                   67.42                    68.09                                3.50                            0.76
0806-073456-un6lavwy   False            5                65.68                 65.68          0.14                   68.18                    68.18                                2.62                            0.66
0806-010637-7szcveoi   False            5                65.57                 65.57          0.77                   69.38                    69.38                                2.08                            0.52
0805-011903-mltxwumq   False            5                65.36                 98.52          0.29                   52.99                    65.27                                2.59                            0.68
0806-091410-i26nw5qq   False            5                65.29                 65.29          0.17                   70.48                    70.48                                2.04                            0.53
0806-055913-0segjr4i   False            5                65.13                 65.13          0.23                   70.28                    70.28                                4.69                            0.79
0806-063818-qd484geq   False            5                65.03                 65.03          0.18                   67.38                    67.38                                7.48                            0.79
0802-011757-95wqw8b6   False            5                64.83                 98.73          0.28                   74.11                    74.83                                2.56                            0.61
0806-183717-fjpr0ope   False         1791                64.62                100.00          0.01                   24.56                    26.32                                0.20                            0.67
0803-084417-29zuic5u   False            5                64.43                 79.99          0.22                   53.65                    68.85                               53.94                           48.55
0805-222928-kbeub2mq   False            5                64.32                 64.32          1.04                   69.59                    69.59                                3.59                            0.68
0806-095609-7a2wnq4y   False            5                63.88                 63.88          0.09                   69.89                    69.89                                3.66                            0.78
0805-235438-z8anijv6    True            5                63.70                 72.63          0.12                   64.92                    65.11                                1.60                            4.04
0806-044101-c9fm6jv6   False            5                63.67                 63.67          0.34                   70.53                    70.53                               28.54                            0.77
0806-050025-ij5lypzm   False            5                63.41                 92.73          1.59                   68.15                    68.87                                2.03                            0.57
0805-080343-nqpivhg2   False            5                63.34                 77.57          0.11                   55.10                    71.21                               51.87                           47.34
0802-221909-wvsznor6   False            5                63.30                 97.98          1.57                   64.90                    65.49                                3.18                            0.60
0801-061128-b8gzo4l2   False            5                63.15                 77.53          0.22                   52.74                    67.61                               48.49                           43.89
0806-070227-74trz2tu   False            5                63.11                 63.11          0.21                   70.99                    70.99                                4.28                            1.14
0806-225330-xk0awowi   False            5                63.07                 96.50          1.37                   49.34                    61.02                                2.21                            0.56
0802-140220-txsy9ouq   False            5                63.01                 82.91          0.18                   74.65                    76.43                               50.37                            0.99
0805-063252-etls6dxu   False            5                62.98                 95.50          0.33                   70.17                    70.81                                1.84                            0.47
0801-060510-2dwjo4l2   False            5                62.69                 64.71          2.55                   49.86                    68.14                               33.56                           25.77
0806-110817-ryoiw7iq   False            5                62.45                 62.45          0.08                   72.04                    72.04                                2.61                            0.68
0806-112322-ybvabv2q   False            5                62.41                 62.41          0.76                   68.49                    68.49                                2.19                            0.63
0805-221652-vj294nbm   False            5                62.39                 62.39          0.20                   66.42                    66.42                                4.25                            0.79
0805-160658-7n886vbm   False            6                62.30                 73.50          0.47                   58.09                    69.09                                1.58                            0.99
0804-033407-nnowdatu   False            5                62.22                 97.33          0.12                   54.15                    66.14                                2.94                            0.76
0801-155502-niujsjde   False            5                62.05                 78.56          0.88                   57.13                    72.27                               53.75                           45.58
0807-172311-2us3klwi   False            5                62.02                 65.65          0.45                   55.34                    71.47                               40.13                           33.26
0807-070446-vkxzc176   False            5                62.02                 83.00          0.17                   55.67                    70.83                               47.28                           44.96
0806-222925-tmbkrz82   False           12                61.94                 87.38          0.22                   56.59                    60.52                              179.85                           47.52
0806-210047-5g6cq5ua    True            5                61.63                 62.06          0.03                   48.00                    48.69                                5.08                            2.95
0806-030821-jfh7bbwy   False            5                61.60                 61.60          0.08                   72.91                    72.91                                3.32                            0.79
0806-040721-quse57o2   False            5                61.59                 61.59          1.73                   50.13                    50.13                                0.24                            0.65
0806-074430-i48zzbiq   False            5                61.21                 61.21          0.66                   71.45                    71.45                                4.33                            0.59
0803-022300-vrdg7rpu   False            5                61.10                 95.06          1.63                   50.93                    62.86                                2.19                            0.56
0806-111114-0txlth5e   False            5                61.10                 61.10          0.09                   69.83                    69.83                                2.51                            0.50
0804-032308-iej47y1e   False            5                60.89                 71.81          0.08                   75.45                    77.23                               48.66                           37.15
0801-052318-goen6zgy   False            5                60.80                 73.62          2.11                   54.96                    71.21                               59.68                           55.23
0805-212553-m8cp1q8i   False            5                60.50                 98.11          0.16                   50.57                    62.77                                2.05                            0.66
0806-064854-ytl39sku   False            5                60.37                 60.37          1.59                   71.16                    71.16                               21.23                            0.52
0803-105444-2uzydedu   False            5                60.29                 68.53          0.36                   72.79                    74.24                               47.96                            0.91
0807-061528-8r5kfz0y   False            5                60.26                 97.53          0.28                   52.93                    65.11                                1.70                            0.67
0805-223506-hainpvrm   False            5                60.17                 60.17          0.10                   68.19                    68.19                                3.86                            0.52
0802-174102-sq4154pe   False            5                60.15                 62.95          0.14                   55.08                    69.94                               58.39                           51.57
0807-005027-uwivrj0y   False            5                59.96                 96.72          0.35                   71.08                    71.67                                1.69                            1.01
0806-031945-36z6rqc2   False            5                59.81                 59.81          1.59                   67.42                    67.42                                5.72                            0.62
0806-110515-9n6y2v4i   False            5                59.77                 59.77          0.51                   69.52                    69.52                                2.22                            0.56
