CLUSTER PERFORMANCE ANALYSIS REPORT
==================================================
Generated: 2025-08-08 12:56:10
Analysis Period: 7 days

PERFORMANCE SUMMARY
--------------------
Clusters analyzed: 8897
Average CPU utilization: 19.28%
Average memory utilization: 48.77%

DETAILED METRICS
--------------------
          cluster_id  driver  data_points  avg_cpu_utilization  peak_cpu_utilization  avg_cpu_wait  avg_memory_utilization  peak_memory_utilization  avg_network_mb_received_per_minute  avg_network_mb_sent_per_minute
0802-044539-8pe1chea   False            5                12.36                 14.56          0.13                   54.22                    69.64                                0.56                            0.46
0805-152033-joa4jf9u   False            5                12.36                 18.27          0.11                   56.20                    71.04                                1.93                            0.46
0807-102454-buhf06j6   False            5                12.36                 15.19          0.07                   56.77                    73.04                                0.61                            1.23
0806-094404-u7tybpjm   False            5                12.36                 19.96          0.31                   53.55                    69.93                                0.97                            0.46
0807-094149-5nn7979u   False            5                12.35                 14.89          0.10                   56.91                    72.28                                0.57                            0.45
0804-154452-rpzyf76a   False            5                12.35                 12.40          0.34                   65.90                    66.15                                0.16                            0.34
0805-223148-wb9nkely   False            5                12.35                 19.36          0.09                   57.06                    72.76                                0.57                            0.47
0802-041045-v5r8gro2   False            5                12.34                 31.68          0.12                   68.39                    68.47                                1.14                            0.44
0808-000544-a0v6vm6q   False            5                12.34                 16.45          0.09                   53.71                    69.42                                0.56                            1.02
0805-194452-vegjl0sy   False            5                12.34                 13.18          0.29                   65.19                    65.36                                0.15                            0.45
0804-175400-kgt8vuhe   False            5                12.34                 14.69          0.06                   56.68                    72.48                                0.55                            0.48
0808-034752-o8q46yhe   False            5                12.34                 14.95          0.10                   54.50                    69.40                                0.61                            1.16
0804-142743-grrhqxaq   False            5                12.34                 15.05          0.11                   55.42                    70.45                                0.56                            0.42
0802-085325-rdo8edjm    True            8                12.33                 16.60          0.03                   37.35                    39.11                                0.74                            0.85
0808-025218-7ox9xy4y   False            5                12.33                 16.46          0.09                   57.49                    73.97                                0.56                            0.52
0807-175129-mkqj4q36    True            6                12.33                 17.21          0.05                   16.13                    16.46                                1.34                            1.87
0802-000339-ra595frm   False            5                12.33                 20.23          0.09                   55.54                    70.59                                1.66                            0.87
0804-041159-6geupr82   False            5                12.33                 14.99          0.37                   52.83                    68.75                                0.57                            0.41
0803-112923-cczauyhe   False            5                12.33                 18.42          0.11                   57.23                    72.26                                3.45                            0.52
0807-111321-tuq060ia   False            5                12.33                 15.86          0.10                   56.50                    71.44                                0.62                            1.30
0801-205650-8rdimcr6    True            9                12.32                 31.47          0.18                   49.76                    50.51                                4.92                            2.39
0807-151131-92ogdatu   False            5                12.32                 15.82          0.13                   54.61                    69.92                                0.57                            0.47
0803-011528-nzxxtc7m   False            5                12.32                 19.76          0.12                   54.50                    68.99                                0.93                            0.60
0802-150206-qh3gw00i   False            5                12.32                 17.63          0.14                   53.92                    69.27                                0.41                            0.54
0804-030329-63igl26q   False            5                12.32                 29.38          0.11                   52.27                    66.99                                0.95                            0.55
0806-111026-gq40n0uq   False            5                12.32                 16.37          0.08                   54.41                    69.35                                0.56                            0.66
0806-150316-p5dgo1zm   False            5                12.32                 15.69          0.11                   52.37                    67.52                                0.56                            0.41
0804-045816-9cjpsiz6   False            8                12.32                 13.69          0.64                   37.54                    38.24                                1.18                            0.60
0805-095530-5tjkncia   False            5                12.32                 17.83          0.11                   53.63                    67.97                                1.14                            0.44
0807-210133-6524jj82    True            7                12.31                 17.33          0.04                   16.46                    17.08                                1.22                            2.00
0807-032251-0wtr50cy   False            5                12.31                 17.96          1.83                   56.89                    72.25                                0.76                            1.21
0805-222114-s5r5pw5u   False            5                12.31                 20.02          0.09                   57.20                    73.38                                0.57                            0.56
0804-170005-6tq6tpg2   False            8                12.31                 14.57          0.08                   28.03                    28.51                                3.80                            1.55
0807-175321-owdrg3de   False            8                12.31                 26.82          0.25                   72.51                    73.04                                1.17                            0.69
0805-071209-t2m0ydci   False            5                12.30                 15.56          0.10                   56.55                    72.42                                0.56                            0.47
0804-055309-8wl64qaa   False            5                12.30                 16.32          0.09                   57.20                    72.71                                0.56                            0.49
0801-034453-yjzgsrv6   False            5                12.30                 12.87          0.30                   66.44                    66.73                                0.15                            0.29
0804-164541-71rikw5u   False            5                12.30                 14.96          0.09                   56.92                    73.31                                0.57                            0.52
0808-034459-402xiuj6   False            5                12.29                 16.84          0.12                   54.09                    69.33                                0.72                            1.49
0807-073624-0nivta8i   False            5                12.29                 15.41          0.10                   52.57                    67.49                                0.72                            1.45
0803-184658-km3gbjma   False            5                12.29                 19.20          0.08                   52.31                    67.33                                0.76                            0.43
0807-192052-myekqiaa   False            5                12.29                 15.28          0.71                   52.99                    67.73                                0.57                            0.62
0803-110802-f62mm2he   False            5                12.29                 14.51          0.11                   56.53                    72.11                                0.56                            0.51
0807-235821-g8obuihe   False            5                12.29                 16.62          0.13                   56.16                    72.60                                0.56                            0.63
0806-020022-6z7db3ma   False            5                12.29                 17.94          0.20                   56.23                    71.36                                0.69                            0.50
0806-015419-uav6ddke   False            5                12.29                 16.01          0.46                   56.13                    71.90                                0.57                            0.52
0802-091416-l40y9v6a   False            5                12.28                 15.06          0.08                   56.85                    72.09                                0.57                            0.57
0801-033334-htxqv1n6   False            5                12.28                 16.67          0.10                   56.38                    72.07                                0.62                            1.12
0801-092128-f91o1d02   False            5                12.28                 16.25          0.11                   54.76                    70.08                                0.62                            1.23
0807-115957-ys4yb9qq   False            5                12.28                 18.47          0.11                   56.04                    71.36                                0.71                            0.51
0805-025732-qpfgtvde   False            5                12.28                 19.50          0.10                   52.94                    68.13                                0.97                            0.47
0806-033418-vx1ah7v6   False            5                12.28                 12.28          0.11                   51.51                    51.51                                0.20                            1.47
0807-005655-9py608b6    True            6                12.27                 18.95          0.03                   16.74                    16.84                                0.67                            1.44
0804-183815-cstzrx8y   False            5                12.27                 21.62          0.12                   56.53                    73.80                                0.83                            0.60
0805-181143-vbmtfv2q   False            5                12.27                 15.57          0.10                   56.76                    72.47                                0.55                            0.42
0804-183325-leygpb0y   False            5                12.26                 15.33          0.11                   57.20                    74.28                                0.56                            0.56
0802-130121-cywlv3ma   False            5                12.26                 15.89          0.10                   56.50                    71.41                                0.62                            1.23
0806-164646-2cd51hjm   False            5                12.26                 14.12          0.13                   52.46                    68.88                                0.55                            0.64
0805-045739-sxg1ex3m   False            5                12.26                 15.42          0.14                   52.68                    68.14                                0.73                            1.47
0805-175044-e35vt3wy   False            5                12.26                 16.41          0.07                   56.28                    72.02                                0.76                            1.23
0801-011411-j8qivbwy   False            5                12.26                 15.08          0.13                   56.70                    72.13                                0.55                            0.55
0807-140411-gor23pxu   False            5                12.26                 16.58          0.35                   53.78                    69.16                                0.55                            0.47
0801-140132-v5uxqhhu   False            5                12.25                 30.61          0.09                   70.17                    70.21                                5.37                            0.40
0806-130325-o6ak5jpu   False            5                12.25                 16.64          0.09                   56.85                    71.95                                0.57                            0.57
0807-001209-ie3nv4ku   False            5                12.25                 15.63          0.10                   58.02                    74.31                                0.57                            0.57
0804-144357-kdft1hjm   False            5                12.25                 15.49          0.08                   56.77                    71.96                                0.60                            1.21
1111-163438-zjpw0716    True           69                12.25                 69.50          1.28                   57.67                    93.80                                5.11                           11.13
0807-132817-xprgem8i   False            5                12.25                 17.19          0.08                   57.30                    72.86                                0.68                            0.55
0805-154334-fz6fc93m   False            5                12.25                 16.29          0.08                   57.80                    73.21                                0.77                            0.47
0807-170902-7m540sgi   False            5                12.25                 14.13          0.19                   59.18                    75.13                                0.55                            0.46
0802-192246-qprkf8ya   False            5                12.24                 22.18          0.14                   54.65                    68.91                                0.85                            0.52
0806-151517-s4xortw2   False            5                12.24                 15.84          2.14                   57.92                    74.80                                0.61                            1.22
0807-195203-5kio13iq   False            5                12.24                 14.63          0.20                   52.81                    67.55                                0.61                            1.51
0802-021230-7icgx2qa   False            5                12.24                 17.62          0.09                   56.58                    73.05                                0.62                            1.09
0805-233313-qol5nbpu   False            5                12.24                 15.40          0.13                   56.56                    71.98                                0.61                            1.19
0808-053828-dm3asxsi   False            5                12.24                 14.64          0.12                   53.79                    69.69                                0.50                            1.61
0806-152601-hx1xf9qq   False            5                12.24                 14.75          0.09                   54.97                    70.57                                0.58                            0.49
0807-000247-6z4ttl42   False            5                12.24                 17.60          0.11                   58.31                    74.45                                0.76                            0.68
0804-022956-zh9fjk02   False            5                12.24                 15.14          0.12                   54.40                    72.22                                0.58                            0.50
0806-072216-gx0r864y   False            5                12.23                 13.21          0.91                   55.01                    71.50                                0.57                            0.50
0805-075032-u5jch1xu   False            5                12.22                 18.97          0.08                   55.78                    72.34                                0.83                            0.44
0806-140856-agrmg4cy   False            5                12.22                 14.35          0.19                   51.68                    65.86                                0.63                            1.58
0801-005020-g5bnwdn6   False            5                12.22                 16.85          0.09                   56.97                    71.96                                0.43                            0.51
0805-010158-cupb69ea   False            5                12.22                 15.26          0.15                   53.08                    69.19                                0.61                            1.43
0805-150832-yhu47ol2   False            5                12.22                 16.00          0.08                   54.38                    69.98                                0.61                            1.28
0805-200107-g9pwmsya   False            5                12.22                 15.31          0.09                   56.75                    72.29                                0.62                            1.52
0808-021134-or40u39u    True            7                12.21                 15.52          0.06                   31.63                    31.89                                0.37                            1.19
0805-204157-93nz2u4y   False            5                12.21                 19.21          0.14                   55.19                    70.75                                1.01                            0.52
0806-084354-h7rtk5hu   False            5                12.21                 14.69          0.09                   56.21                    72.25                                0.64                            1.49
0807-050300-syux6gwi   False            5                12.21                 16.66          0.12                   57.43                    74.21                                0.57                            0.56
0801-203615-fdlno0ku   False            5                12.21                 15.64          0.09                   55.73                    70.56                                0.56                            0.41
0805-195651-jysi1rma   False            5                12.21                 31.42          0.20                   66.94                    67.03                                0.08                            0.40
0806-134101-10av8k5e   False            5                12.20                 15.65          0.09                   52.20                    68.01                                0.60                            0.49
0808-020728-7146nd3m   False            5                12.20                 21.06          0.10                   53.83                    70.20                                0.74                            0.63
0801-131702-35viw93m   False            5                12.20                 17.01          0.11                   54.55                    69.68                                0.57                            0.63
0804-024711-0p3wxamq   False            5                12.20                 19.32          0.10                   56.16                    72.06                                0.55                            0.45
0806-190312-x8nschke   False           49                12.20                 59.39          0.04                   14.21                    15.53                               19.08                           29.13
0806-101048-qkeblsgi   False            5                12.20                 15.03          0.20                   56.74                    72.64                                0.62                            1.25
0808-061910-fexz6t5e   False            5                12.19                 19.13          0.10                   56.30                    72.26                                0.74                            0.66
0802-165306-ertq14pe   False            5                12.19                 20.10          0.11                   57.39                    74.06                                0.84                            0.61
0805-090012-pb7p340i   False           14                12.19                 24.51          0.10                   20.12                    27.10                                0.41                            0.45
0802-011233-t21xcbv6   False            5                12.19                 13.79          0.11                   55.78                    72.69                                0.61                            1.20
0805-092831-eipukdzm   False            5                12.19                 13.88          0.08                   54.96                    70.10                                0.57                            0.46
0807-144447-qbt8eoku   False            5                12.19                 15.43          0.10                   57.34                    72.44                                0.56                            0.38
0803-154452-8efs2t5e   False            5                12.19                 12.31          0.35                   63.58                    63.71                                0.15                            0.39
0807-025359-fida1p8y   False            5                12.19                 15.29          0.16                   56.62                    72.00                                0.62                            1.42
0807-102525-zslo7zma   False            5                12.19                 19.34          0.40                   52.69                    67.29                                0.70                            0.54
0802-081826-i6san0gi   False            5                12.18                 13.49          0.19                   56.04                    72.51                                0.62                            1.75
0804-153236-7hubbq4y   False            7                12.18                 39.31          0.09                   62.19                    76.56                                3.82                            3.18
0806-175032-qdg1r18y   False            5                12.18                 16.70          0.10                   52.85                    66.80                                0.60                            0.62
0802-065412-yvfqwufm   False            5                12.18                 17.06          0.06                   54.65                    69.65                                0.58                            0.54
0802-083033-g5semzo2   False            5                12.18                 15.82          0.10                   56.36                    71.81                                0.60                            1.52
0805-003242-p5plwutu    True            9                12.17                 34.90          0.04                   16.70                    16.88                                7.12                           28.08
0807-174928-q2y2x72q    True            6                12.17                 16.50          0.05                   17.27                    17.69                                0.73                            1.21
0804-120051-7ktl25g2   False            5                12.17                 14.66          0.09                   56.43                    72.88                                0.56                            0.57
0808-020657-vowptjbm   False            5                12.17                 15.68          0.09                   53.11                    67.08                                0.57                            0.52
0805-044210-mdz0xv6a   False            5                12.17                 13.64          0.37                   64.00                    64.38                                0.15                            0.23
0804-043038-xz13wrv6   False            5                12.16                 16.55          0.07                   57.13                    74.47                                0.56                            0.50
0806-171643-nvn96cya   False           31                12.16                 40.71          0.21                   62.54                    66.77                                0.14                            0.47
0804-041534-2cp77cwi   False            5                12.16                 16.66          0.20                   54.14                    70.50                                0.55                            0.60
0805-023942-y6q2ooia   False            5                12.16                 16.84          0.08                   57.25                    72.89                                0.62                            1.11
0803-232014-mdszpjwy   False            5                12.16                 16.86          0.09                   53.90                    69.06                                0.77                            0.45
0806-150156-78lbev4i   False            5                12.15                 18.06          0.13                   53.36                    69.28                                0.73                            0.59
0801-123449-9rdalb9u   False            5                12.15                 15.47          0.10                   53.97                    68.86                                0.62                            1.30
0803-154630-homlw7wy   False            5                12.15                 15.64          0.08                   55.53                    70.03                                0.56                            0.68
0801-222310-bvh79uz6   False            5                12.14                 20.26          0.07                   57.14                    73.20                                0.83                            0.53
0807-183726-t3yuwjde   False            5                12.14                 15.74          0.12                   56.73                    72.26                                0.63                            1.45
0806-145559-lko0zwnm   False            5                12.14                 15.90          0.14                   54.23                    70.42                                0.61                            0.66
0805-054513-t1wsoff6   False            5                12.14                 13.69          0.09                   56.36                    72.59                                0.61                            1.21
0805-092129-h9b6hwcy   False            5                12.13                 15.15          0.09                   55.10                    71.41                                0.56                            0.55
0802-112104-f78lpseq   False           32                12.13                 14.34          0.07                   14.48                    15.11                                1.88                            1.36
0806-110739-k3ztruhe   False            5                12.13                 29.67          0.10                   53.24                    68.37                                0.82                            0.40
0801-094032-x4tnxo9e   False            5                12.13                 17.33          0.17                   54.24                    68.87                                0.56                            0.42
0801-211536-jih6ifbm   False            5                12.13                 13.73          0.10                   54.24                    68.87                                0.56                            0.64
0806-221800-k0p8vrbm   False            5                12.13                 15.83          0.10                   58.18                    72.32                                0.56                            0.47
0805-160612-2cvp4bgy   False            5                12.13                 14.84          0.06                   57.04                    72.21                                0.56                            0.50
0806-120922-ob3uqdci   False            5                12.12                 16.93          0.40                   53.05                    68.52                                0.63                            1.35
0804-174604-aimowll2   False           12                12.12                 15.18          0.03                   27.79                    29.27                                0.37                            0.35
0807-040908-o816dafm   False            5                12.12                 15.89          0.16                   54.23                    68.99                                0.57                            0.51
0806-010031-jrs40utu   False            5                12.12                 12.12          0.08                   50.05                    50.05                                0.20                            1.61
0806-010927-b9ihyz9u    True            5                12.12                 12.65          0.04                   18.90                    19.62                               42.75                            4.77
0806-184631-la90rx1u   False            5                12.12                 16.44          0.47                   57.77                    73.75                                0.57                            0.64
0807-000539-p6tfh5aq   False            5                12.12                 17.06          0.09                   56.92                    71.76                                0.70                            0.77
0802-071646-92xd14wi   False            5                12.11                 32.11          0.14                   71.30                    71.33                                0.68                            0.55
0803-184403-s8w9ee4y   False            5                12.11                 15.87          0.09                   51.62                    68.38                                0.56                            0.58
0801-205001-h8fb6brm   False            5                12.11                 15.72          0.13                   54.21                    69.56                                0.55                            0.48
0804-112422-0sm6yyaa   False            5                12.11                 15.42          0.12                   53.00                    68.44                                0.57                            0.60
0801-190059-oezri042   False          390                12.11                 15.32          0.04                   26.17                    28.57                               17.20                           13.66
0802-154030-l0o7cbgy   False            5                12.11                 13.51          0.09                   54.81                    69.23                                0.57                            0.50
0802-060809-9z8fczyq   False            5                12.11                 15.06          0.12                   56.16                    71.47                                0.55                            0.51
0805-201739-mnatonwy   False            5                12.11                 18.06          0.10                   57.22                    73.85                                0.80                            0.55
0804-023624-2se6fx8y   False            5                12.10                 15.44          0.09                   54.85                    69.93                                0.57                            0.70
0806-000900-1lwodzbm   False            5                12.10                 14.57          0.08                   56.19                    71.22                                0.55                            0.82
0804-112239-op859k3m   False            5                12.10                 20.60          0.17                   54.36                    70.56                                0.58                            0.50
0807-134753-w3za7h1u   False            5                12.10                 16.54          0.09                   58.02                    72.69                                0.74                            0.49
0802-070328-bzwwb1g2   False            5                12.10                 15.81          0.08                   55.19                    70.45                                0.61                            1.13
0807-115223-il6joe1e   False            5                12.10                 16.61          0.07                   56.51                    72.99                                0.62                            1.15
0808-034327-prs65yj6   False            5                12.09                 16.02          0.11                   54.98                    70.39                                0.57                            0.62
0803-102149-7mmkskci   False            5                12.09                 19.84          0.09                   54.80                    70.00                                0.57                            0.44
0802-002847-wbdzpj4i   False            5                12.08                 21.79          0.09                   55.35                    70.53                                1.33                            0.72
0803-041100-uqtiwd1u   False            5                12.08                 14.65          0.08                   53.47                    68.56                                0.58                            0.44
0805-084627-fjq7n2mq   False           14                12.08                 28.45          0.20                   69.87                    71.83                                0.90                            0.37
0808-042308-at4u92qa   False            5                12.08                 12.45          1.92                   55.05                    69.15                                0.58                            0.55
0802-153043-t4lra7ma   False            5                12.08                 14.19          0.17                   57.20                    73.28                                0.57                            0.45
0803-135444-iy6dthqq   False            5                12.08                 14.04          0.10                   56.68                    72.00                                0.55                            0.56
0807-031649-mmflamfm   False            5                12.07                 15.63          0.12                   55.65                    71.67                                0.59                            0.42
0807-135228-c7px8g0i   False            5                12.07                 17.86          0.15                   52.34                    68.02                                0.79                            0.52
0802-180649-r7yjxuly   False            5                12.07                 19.07          0.12                   56.03                    72.03                                1.29                            1.16
0801-223330-f9iql9oy   False            5                12.07                 13.82          0.11                   56.83                    73.86                                0.55                            0.58
0801-203041-qsh8skjm   False            5                12.07                 14.03          0.31                   54.64                    70.39                                0.57                            0.47
0804-014701-tdcpjnrm   False            5                12.07                 16.34          0.21                   54.68                    70.23                                0.57                            0.61
0805-095720-rx58rdaq   False            5                12.07                 17.28          0.10                   56.22                    71.61                                0.57                            0.54
0806-001500-dwtpsro2   False            5                12.07                 15.18          0.09                   56.55                    72.29                                0.56                            0.54
0807-210853-bxas1bf6   False            5                12.06                 16.43          0.12                   56.04                    71.43                                0.59                            1.32
0804-024840-dbjt75ea   False            5                12.06                 14.14          0.13                   57.14                    71.35                                0.63                            1.65
0807-233551-cwi1ehaq    True           19                12.06                 42.04          0.09                   72.24                    74.23                                5.65                            6.46
0803-200416-qvyxdc7m   False            5                12.06                 12.47          0.16                   55.00                    70.72                                0.61                            0.55
0804-232134-d8d9d3iq   False            5                12.06                 15.37          0.13                   54.31                    69.58                                0.55                            0.46
0805-010658-sewl7382    True           11                12.06                 28.49          0.04                   17.19                    18.33                                4.01                           39.32
0803-071845-3xhbt34i   False            5                12.06                 18.83          0.14                   54.74                    70.69                                0.75                            0.56
0806-090909-ee4owjrm   False            5                12.06                 14.98          0.12                   54.23                    69.66                                0.54                            0.46
0807-044944-c3ak6ej6   False            5                12.06                 15.75          0.09                   55.34                    70.79                                0.55                            0.37
0804-021626-p3u7g45u   False            5                12.05                 15.36          0.09                   55.44                    70.61                                0.58                            0.52
0806-132634-rpdvkdsi   False            5                12.05                 16.16          0.09                   53.52                    67.95                                0.61                            1.28
0806-120614-hougtvde   False            5                12.05                 16.17          0.12                   55.86                    71.46                                0.58                            0.66
0803-022139-5hbddg5u   False            5                12.05                 13.89          0.09                   55.88                    70.49                                0.56                            0.58
0802-070938-oapm2gwi   False            5                12.05                 12.89          0.10                   56.12                    71.61                                0.63                            1.27
0801-165544-a3i60ydu   False            5                12.05                 16.09          0.10                   54.25                    69.61                                0.62                            0.47
0805-074228-bhx5yjgy   False            5                12.04                 15.53          0.10                   52.31                    68.25                                0.57                            0.53
0806-013122-vc9gpwcy   False            5                12.04                 12.04          0.10                   52.28                    52.28                                0.18                            1.20
0803-231330-q2w6cp3m   False            5                12.04                 12.70          0.14                   55.30                    69.98                                0.63                            0.51
0808-025816-xqqto9oy   False            5                12.04                 14.04          0.19                   54.27                    68.71                                0.55                            0.60
0807-035824-pmu0cu8i   False            5                12.04                 16.18          0.88                   57.95                    73.57                                0.56                            0.65
0806-200437-31la8cnm   False            5                12.04                 14.89          0.10                   58.50                    74.12                                0.56                            0.47
0804-153333-ns4x3gnm   False            7                12.03                 27.46          0.12                   58.69                    72.72                                5.12                            2.61
0806-025837-n76y6cr6   False            5                12.03                 15.94          0.10                   54.50                    70.21                                0.56                            0.47
0803-204529-28bc9no2   False            5                12.03                 15.84          0.10                   53.35                    68.56                                0.58                            0.63
0805-045132-ayxhfg2a   False            5                12.03                 15.86          0.09                   56.13                    72.51                                0.55                            0.42
0808-044926-vdlvioku   False            5                12.03                 18.80          0.11                   53.83                    68.77                                0.75                            0.62
0807-063316-ek4u8qvm    True            6                12.03                 14.69          0.11                   78.59                    79.01                                0.84                            1.02
0807-102841-9mgtei36   False            5                12.02                 20.97          0.09                   56.66                    71.05                                0.79                            0.43
0808-044211-z73lcphu   False            5                12.02                 17.13          0.26                   53.10                    65.07                                0.11                            0.51
0803-142405-4bbla13m   False            5                12.02                 15.44          0.08                   56.16                    70.92                                0.40                            0.51
0805-045740-7ab8tyj6   False            5                12.01                 17.52          0.43                   56.22                    72.62                                0.71                            0.51
0806-055546-13hlgu1e   False            5                12.01                 14.64          0.13                   54.99                    71.99                                0.63                            1.43
0804-031119-rqk7m0pe   False            5                12.01                 16.11          2.07                   57.58                    73.57                                0.58                            0.60
0806-191039-014i8mxe   False            5                12.01                 20.31          0.09                   55.99                    71.64                                0.69                            0.55
0804-075623-qg03te6q   False            5                12.01                 17.02          0.13                   56.47                    71.30                                1.36                            1.25
0804-054656-u1b1bswi   False            5                12.01                 15.45          0.08                   56.95                    71.66                                0.62                            1.14
